#timestep  time            dt               l2_rho           l2_rho_v1        l2_rho_v2        l2_rho_v3        l2_rho_e         linf_rho         linf_rho_v1      linf_rho_v2      linf_rho_v3      linf_rho_e       dsdu_ut          e_kinetic        e_total          entropy          pressure      
     7300  8.93108384e-01  1.21994322e-04   5.35363933e-04   5.64063402e-02   5.64063402e-02   7.65112545e-02   4.85830229e-02   3.17936273e-03   1.43868973e-01   1.43868973e-01   2.37093164e-01   1.58479972e-01  -2.48416161e-17   1.25014272e-01   1.78696429e+02  -1.06717404e+01   7.14285657e+01
     7400  9.05306902e-01  1.21977609e-04   5.97511491e-04   5.71696540e-02   5.71696540e-02   7.75097008e-02   3.92115264e-02   3.11917233e-03   1.44781939e-01   1.44781939e-01   2.40305036e-01   1.53865370e-01  -5.80040560e-17   1.25014722e-01   1.78696429e+02  -1.06717404e+01   7.14285655e+01
     7500  9.17504195e-01  1.21969863e-04   6.63488006e-04   5.79220408e-02   5.79220408e-02   7.85118761e-02   4.21838084e-02   3.02680329e-03   1.45663988e-01   1.45663988e-01   2.43528569e-01   1.62973185e-01  -3.41015274e-17   1.25014290e-01   1.78696429e+02  -1.06717404e+01   7.14285657e+01
     7600  9.29701165e-01  1.21970846e-04   7.25062738e-04   5.86633595e-02   5.86633595e-02   7.95177284e-02   5.57102312e-02   3.07145585e-03   1.46532265e-01   1.46532265e-01   2.46847598e-01   1.98900444e-01  -5.86202980e-18   1.25013055e-01   1.78696429e+02  -1.06717404e+01   7.14285662e+01
     7700  9.41898572e-01  1.21977880e-04   7.72414608e-04   5.93964674e-02   5.93964674e-02   8.05290134e-02   6.95675137e-02   3.26615067e-03   1.47473439e-01   1.47473439e-01   2.50318785e-01   2.44780516e-01  -1.78275815e-17   1.25011626e-01   1.78696429e+02  -1.06717404e+01   7.14285668e+01
     7800  9.54096797e-01  1.21986323e-04   7.98333048e-04   6.01247476e-02   6.01247476e-02   8.15472747e-02   7.80616004e-02   3.36169940e-03   1.48605887e-01   1.48605887e-01   2.53956355e-01   2.90148535e-01  -4.31103851e-17   1.25010702e-01   1.78696429e+02  -1.06717404e+01   7.14285671e+01
     7900  9.66295709e-01  1.21990786e-04   8.01544780e-04   6.08501639e-02   6.08501639e-02   8.25715585e-02   7.98798567e-02   3.48487378e-03   1.50018029e-01   1.50018029e-01   2.57732905e-01   3.23523263e-01   2.95221376e-18   1.25010649e-01   1.78696429e+02  -1.06717404e+01   7.14285672e+01
     8000  9.78494670e-01  1.21986814e-04   7.86682821e-04   6.15736001e-02   6.15736001e-02   8.35970722e-02   7.65855523e-02   3.75823433e-03   1.51714098e-01   1.51714098e-01   2.61590164e-01   3.36082863e-01   1.38931177e-17   1.25011413e-01   1.78696429e+02  -1.06717404e+01   7.14285669e+01
     8100  9.90692712e-01  1.21972449e-04   7.60688738e-04   6.22968772e-02   6.22968772e-02   8.46154721e-02   7.09412014e-02   3.95317374e-03   1.53593818e-01   1.53593818e-01   2.65452837e-01   3.25023956e-01  -4.22799145e-17   1.25012753e-01   1.78696429e+02  -1.06717404e+01   7.14285663e+01
     8200  1.00288884e+00  1.21949047e-04   7.28448081e-04   6.30244572e-02   6.30244572e-02   8.56166490e-02   6.48625562e-02   3.99426384e-03   1.55474020e-01   1.55474020e-01   2.69241997e-01   3.16615758e-01  -6.64944707e-18   1.25014471e-01   1.78696429e+02  -1.06717404e+01   7.14285656e+01
