#timestep  time            dt               l2_rho           l2_rho_v1        l2_rho_theta     linf_rho         linf_rho_v1      linf_rho_theta   dsdu_ut          energy_kinetic   entropy          entropy_phys     pressurecompute
     7900  3.45239254e-01  4.32955414e-05   1.19667288e-03   1.19667288e-04   1.17388542e-15   7.61770738e-03   7.61770738e-04   5.77315973e-15  -1.12757026e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     8000  3.49568310e-01  4.32866934e-05   1.20706073e-03   1.20706073e-04   1.13839770e-15   7.63812913e-03   7.63812913e-04   4.66293670e-15  -6.76542156e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     8100  3.53896791e-01  4.32839879e-05   1.21732476e-03   1.21732476e-04   1.14870495e-15   7.65528553e-03   7.65528553e-04   4.44089210e-15  -1.47451495e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     8200  3.58225312e-01  4.32874270e-05   1.22747104e-03   1.22747104e-04   1.31291987e-15   7.66914360e-03   7.66914360e-04   5.55111512e-15   3.29597460e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     8300  3.62554488e-01  4.32970145e-05   1.23750587e-03   1.23750587e-04   1.48139408e-15   7.67966963e-03   7.67966963e-04   5.99520433e-15   7.97972799e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     8400  3.66884933e-01  4.33127559e-05   1.24743580e-03   1.24743580e-04   1.45075301e-15   7.68682918e-03   7.68682918e-04   5.99520433e-15   1.37910516e-16   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     8500  3.71217263e-01  4.33346583e-05   1.25726761e-03   1.25726761e-04   1.37537176e-15   7.69058705e-03   7.69058705e-04   5.99520433e-15   6.76542156e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     8600  3.75552095e-01  4.33627305e-05   1.26700835e-03   1.26700835e-04   1.34344459e-15   7.77083889e-03   7.77083889e-04   5.99520433e-15   6.93889390e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     8700  3.79890047e-01  4.33969829e-05   1.27666529e-03   1.27666529e-04   1.33642491e-15   7.89601311e-03   7.89601311e-04   5.99520433e-15  -3.55618313e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     8800  3.84231736e-01  4.34374277e-05   1.28624593e-03   1.28624593e-04   1.34664454e-15   8.01987058e-03   8.01987058e-04   5.99520433e-15   8.67361738e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     8900  3.88577783e-01  4.34840786e-05   1.29575804e-03   1.29575804e-04   1.31367840e-15   8.14232690e-03   8.14232690e-04   4.32986980e-15  -1.31838984e-16   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
